MemberID,CustomerName,EmpTitle,EmpLength,HomeOwnership,VerificationStatus,AnnualIncome,State
MB-0001,hassan butt,Manager,< 1 year,Own,Verified,1835900.0,Punjab
MB-0002,Zara Ansari,Software Engineer,< 1 year,Mortgage,Verified,681000.0,Balochistan
MB-0003,  Sara Chatha  ,Teacher,1 year,Rent,Verified,2723800.0,Balochistan
MB-0004,Sara Sheikh,Farmer,10+ years,Own,Verified,2570900.0,Islamabad
MB-0005,Mariam Ansari,Teacher,5 years,Rent,Not Verified,709200.0,Gilgit-Baltistan
MB-0006,Ahmed Qureshi,Driver,1 year,Mortgage,Not Verified,3564400.0,Balochistan
MB-0007,imran jutt,Shop Owner,2 years,Own,Source Verified,3575300.0,Punjab
MB-0008,  Imran Iqbal  ,Government Employee,2 years,Rent,Source Verified,4416700.0,Punjab
MB-0009,Kashif Chaudhry,Electrician,2 years,Own,Not Verified,464700.0,Gilgit-Baltistan
MB-0010,  Ahmed Awan  ,Driver,10+ years,Mortgage,Not Verified,2796400.0,Islamabad
MB-0011,Iqra Farooq,Consultant,< 1 year,Mortgage,Source Verified,573000.0,Gilgit-Baltistan
MB-0012,  Junaid Iqbal  ,Manager,10+ years,Mortgage,Not Verified,4025600.0,Khyber Pakhtunkhwa
MB-0013,ALI FAROOQ,Accountant,5 years,Own,Verified,,Sindh
MB-0014,areeba sheikh,Sales Executive,10+ years,mortgage,Not Verified,1986900.0,Khyber Pakhtunkhwa
MB-0015,adeel butt,Consultant,5 years,Mortgage,Not Verified,3167400.0,Balochistan
MB-0016,Fatima Butt,Accountant,1 year,Own,Verified,2336800.0,Islamabad
MB-0017,HINA IQBAL,Software Engineer,1 year,Mortgage,Source Verified,2678600.0,Sindh
MB-0018,  Junaid Chatha  ,Driver,7 years,Rent,Not Verified,4078000.0,Gilgit-Baltistan
MB-0019,iqra ansari,Sales Executive,3 years,mortgage,Source Verified,1981900.0,Sindh
MB-0020,ahmed sheikh,Accountant,< 1 year,Mortgage,Verified,301000.0,Sindh
MB-0021,SANA MALIK,Driver,< 1 year,Own,Source Verified,1880200.0,
MB-0022,  Zain Raza  ,Shop Owner,3 years,own,Not Verified,4471000.0,Balochistan
MB-0023,AMNA FAROOQ,Teacher,1 year,Own,Source Verified,1412000.0,Gilgit-Baltistan
